Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,HasCrCard,IsActiveMember,EstimatedSalary
Bianchi,660,Spain,Female,61,5,155931.11,1,1,158338.39
Tyler,776,France,Female,32,4,109421.13,1,1,126517.46
Martin,829,France,Female,27,9,,1,1,119708.21
Okagbue,637,France,Female,39,9,137843.8,1,1,117622.8
Yin,550,France,Male,38,2,,0,1,90878.13
Buccho,776,France,Female,37,2,103769.22,1,0,194099.12
Chidiebele,698,France,Male,44,10,116363.37,1,0,198059.16
Trevisani,585,France,Male,36,5,146050.97,0,0,86424.57
O'Brien,788,France,Female,33,5,0,0,0,116978.19
Parkhill,655,France,Male,41,8,125561.97,0,0,164040.94
Yoo,601,France,Male,42,1,98495.72,1,0,40014.76
Phillipps,619,France,Male,43,1,125211.92,1,1,113410.49
Tsao,656,France,Male,45,5,127864.4,1,0,87107.57
Endrizzi,725,France,Male,19,0,,0,0,45613.75
T'ien,511,Spain,Female,66,4,0,1,0,1643.11
Velazquez,614,France,Male,51,4,40685.92,1,1,46775.28
Hunter,742,France,Male,35,5,136857,0,0,84509.57
Clark,687,France,Female,27,9,152328.88,0,0,126494.82
Jeffrey,555,Spain,Male,,1,56084.69,0,0,178798.13
Pirozzi,684,Spain,Male,56,8,78707.16,1,1,99398.36
Jackson,603,France,Male,26,4,109166.37,1,1,92840.67
Hammond,751,France,Female,36,6,169831.46,1,1,27758.36
Brownless,581,France,Female,34,1,101633.04,1,0,110431.51
Chibugo,735,France,Male,43,10,123180.01,1,1,196673.28
Glauert,661,France,Female,35,5,150725.53,0,1,113656.85
Pisano,675,France,Female,21,8,,1,0,18203
Konovalova,738,France,Male,58,2,133745.44,1,0,28373.86
McKee,813,France,Male,29,6,0,1,0,33953.87
Palermo,657,Spain,Female,37,0,163607.18,0,1,44203.55
Ballard,604,France,Female,25,5,157780.84,1,1,58426.81
Wallace,519,France,Male,36,9,0,0,1,145562.4
Cavenagh,735,France,Female,21,1,,1,0,22388
Hu,664,France,Male,55,8,0,1,1,139161.64
Read,678,France,Female,32,9,0,1,1,148210.64
Bushell,757,Spain,Male,33,5,77253.22,0,1,194239.63
Postle,416,France,Female,41,10,122189.66,1,0,98301.61
Buley,665,France,Female,34,1,96645.54,0,0,171413.66
Leonard,777,France,Female,,2,0,1,0,136458.19
Mills,543,France,Female,36,3,0,0,0,26019.59
Onyeorulu,506,France,Female,34,4,90307.62,1,1,159235.29
Beit,493,France,Female,46,4,0,1,0,1907.66
Ndukaku,652,Spain,Female,75,10,0,1,1,114675.75
Gant,750,Spain,Male,22,3,121681.82,1,0,128643.35
Rowley,729,France,Male,30,9,0,1,0,151869.35
Sharpe,646,France,Female,46,4,0,1,0,93251.42
Osborne,635,France,Female,28,3,81623.67,1,1,156791.36
Heap,647,Spain,Female,44,5,0,1,1,174205.22
Ritchie,808,France,Male,45,7,118626.55,1,0,147132.46
Cole,524,France,Female,36,10,0,1,0,109614.57
Capon,769,France,Male,29,8,0,1,1,172290.61
Capon,730,Spain,Male,42,4,0,0,1,85982.47
Fiorentini,515,Spain,Male,,10,176273.95,0,1,121277.78
Graham,773,Spain,Male,41,9,102827.44,0,1,64595.25
Yuille,814,France,Male,29,8,97086.4,1,1,197276.13
Allard,710,Spain,Male,22,8,0,0,0,99645.04
Fanucci,413,France,Male,34,9,0,0,0,6534.18
Fu,665,France,Female,40,6,0,1,1,161848.03
Hung,623,France,Female,44,6,0,0,0,167162.43
Hung,738,France,Male,31,9,82674.15,1,0,41970.72
Bradley,528,Spain,Male,36,7,0,1,0,60536.56
Dunbabin,670,Spain,Female,65,1,0,1,1,177655.68
Mauldon,622,Spain,Female,46,4,107073.27,1,1,30984.59
Stiger,582,France,Male,32,1,88938.62,1,1,10054.53
Parsons,785,France,Female,36,2,99806.85,0,1,36976.52
Walkom,605,Spain,Male,33,5,150092.8,0,0,71862.79
T'ang,479,France,Male,35,9,92833.89,1,0,99449.86
Eremenko,685,France,Male,30,3,90536.81,0,1,63082.88
Rowntree,538,France,Male,,7,108055.1,1,0,27231.26
Thorpe,562,France,Male,42,2,100238.35,0,0,86797.41
Chiemela,675,Spain,Male,36,9,106190.55,0,1,22994.32
Fanucci,721,France,Male,28,9,154475.54,0,1,101300.94
Ko,628,France,Female,30,9,132351.29,1,1,74169.13
Welch,668,France,Female,37,6,167864.4,1,0,115638.29
Duncan,506,France,Female,41,1,0,1,0,31766.3
Chidozie,524,France,Female,31,8,107818.63,1,0,199725.39
Wu,699,France,Male,34,4,185173.81,1,0,120834.48
Culbreth,828,France,Male,34,8,129433.34,0,0,38131.77
Kennedy,674,Spain,Male,39,6,120193.42,0,0,100130.95
Cameron,656,France,Female,39,6,0,1,0,141069.88
Calabresi,684,France,Female,48,10,126384.42,1,1,198129.36
Zetticci,625,France,Female,28,3,0,0,0,183646.41
Fuller,432,France,Male,,9,152603.45,1,0,110265.24
MacDonald,549,France,Female,52,1,0,0,1,8636.05
Piccio,625,France,Male,56,0,148507.24,1,0,46824.08
Kennedy,828,France,Female,41,7,0,,,
Fernie,770,France,Male,24,9,101827.07,1,0,167256.35
He,758,France,Female,34,3,0,1,1,124226.16
Kaodilinakachukwu,795,France,Female,33,9,130862.43,1,1,114935.21
Cocci,687,France,Male,38,9,122570.87,1,1,35608.88
Alekseeva,686,France,Male,25,1,0,0,1,16459.37
Chinweike,789,France,Male,39,7,124828.46,1,1,124411.08
Arthur,589,France,Female,50,5,144895.05,1,1,34941.23
Li,461,France,Female,34,5,63663.93,0,1,167784.28
Ma,637,France,Male,40,2,133463.1,0,1,93165.34
Chia,584,Spain,Female,48,2,213146.2,1,0,75161.25
Vasin,579,Spain,Female,35,1,129490.36,0,1,8590.83
Groves,756,France,Male,44,10,137452.09,1,0,189543.9
Tien,663,France,Male,34,7,0,1,1,180427.24
Forwood,682,France,Female,43,5,125851.93,1,1,193318.33
Greeves,793,Spain,Male,52,2,0,1,0,159123.82
Taylor,691,France,Female,31,5,40915.55,1,0,126213.84
Madukwe,485,Spain,Female,21,5,113157.22,1,1,54141.5
Bennelong,635,Spain,Female,29,8,138296.94,1,0,141075.51
Olisanugo,650,France,Male,37,5,106967.18,0,0,24495.03
Chukwufumnanya,735,France,Male,44,9,120681.63,1,0,74836.34
Harris,416,France,Male,32,0,0,0,1,878.87
Morgan,754,Spain,Female,32,7,0,1,0,89520.75
Alexeeva,535,France,Female,48,9,0,1,0,149892.79
Metcalfe,716,Spain,Male,42,8,0,1,0,180800.42
Humphries,539,France,Male,37,2,127609.59,1,0,98646.22
Milne,614,France,Female,43,6,0,1,1,109041.53
Chou,706,Spain,Male,57,7,0,1,0,17941.16
Li,758,France,Female,33,7,0,0,0,82996.47
Clayton,586,Spain,Female,28,2,0,1,1,92067.35
Maclean,646,France,Female,73,6,97259.25,0,1,104719.66
Chigolum,631,France,Female,33,4,123246.7,0,0,112687.57
Wilkinson,717,Spain,Female,22,6,101060.25,0,1,84699.56
Wei,684,France,Male,30,2,0,1,0,83473.82
Treacy,800,France,Female,49,7,108007.36,0,0,47125.11
Hu,721,Spain,Female,36,2,0,1,1,106977.8
Taverner,683,Spain,Male,29,0,133702.89,1,0,55582.54
Sherman,660,France,Male,31,9,125189.75,1,1,139874.43
Taubman,704,France,Female,24,7,113034.22,1,0,162503.48
Robinson,615,Spain,Female,41,9,109013.23,1,0,196499.96
Pinto,667,Spain,Female,39,2,0,1,0,40721.24
Wood,682,France,Male,24,9,57929.81,0,0,53134.3
Hawkins,484,France,Female,29,4,130114.39,1,0,164017.89
Sun,628,France,Male,27,5,95826.49,1,0,155996.96
Yost,480,France,Male,44,10,,1,0,5472.7
Ting,578,France,Male,30,4,169462.09,1,0,112187.11
Rowe,512,France,Male,40,5,0,1,,146457.83
Fu,484,Spain,Female,35,7,133868.21,1,1,27286.1
Ho,510,France,Female,30,0,0,1,1,
Okechukwu,606,France,Male,36,5,190479.48,0,0,179351.89
Campbell,597,Spain,Female,40,8,101993.12,0,1,94774.12
Ashbolt,754,France,Female,55,3,161608.81,1,0,8080.85
Rozier,850,Spain,Female,45,2,122311.21,1,1,19482.5
Hsia,510,France,Male,65,2,0,1,1,48071.61
Ogbonnaya,778,France,Female,45,1,162150.42,1,0,174531.27
T'ang,636,France,Male,42,2,0,1,1,55470.78
Cocci,804,France,Female,50,4,0,1,1,8546.87
Chang,514,France,Male,32,8,0,1,0,95857.18
T'ao,730,France,Female,39,1,99010.67,1,0,194945.8
Ford,525,Spain,Female,37,0,0,0,1,
Marshall,616,Spain,Male,30,5,0,0,1,196108.51
Tsai,687,France,Female,34,7,111388.18,1,0,148564.76
Onwumelu,715,France,Female,41,8,56214.85,0,0,92982.61
Graham,512,France,Female,36,3,84327.77,1,0,17675.36
Golovanov,479,France,Male,40,1,0,0,0,114996.43
Potts,601,France,Male,32,8,,1,0,86957.42
Crawford,580,Spain,Male,29,9,61710.44,1,0,128077.8
Aleshire,807,France,Male,35,3,174790.15,1,1,600.36
Moran,616,Spain,Female,32,6,0,1,1,43001.46
Samsonova,721,France,Male,37,3,107720.64,1,1,158591.12
Jenkins,501,France,Male,57,10,0,1,1,47847.19
Volkov,521,France,Male,35,6,96423.84,1,0,10488.44
Chiemezie,850,Spain,Male,30,2,141040.01,1,1,5978.2
Jude,759,France,Male,42,4,105420.18,0,1,
He,516,Spain,Male,50,5,0,0,1,146145.93
Onuora,711,France,Female,38,2,,1,1,14374.86
Ginikanwa,512,Spain,Male,33,3,176666.62,1,0,94670.77
Ku,550,France,Male,37,3,0,1,1,179670.31
McDonald,608,Spain,Female,41,3,89763.84,0,0,199304.74
Collins,618,France,Male,34,5,134954.53,1,1,151954.39
Hackett,643,France,Male,45,5,0,1,0,
Dike,671,France,Male,45,2,106376.85,0,1,158264.62
Trevisano,689,France,Male,33,2,161814.64,1,0,169381.9
Tan,603,France,Male,31,8,0,1,1,169915.02
Glassman,620,France,Female,41,9,0,0,0,88852.47
Miller,676,France,Female,34,1,63095.01,1,1,40645.81
Kornilova,572,France,Male,26,,118287.01,0,0,60427.3
Watson,668,France,Male,47,7,106854.21,0,1,157959.02
Marchesi,695,France,Male,46,7,49512.55,1,0,133007.34
Millar,730,Spain,Female,33,9,0,0,0,176576.62
Shih,807,France,Male,43,1,105799.32,1,0,34888.04
Fuller,592,France,Male,54,8,0,1,1,28737.71
Hay,726,France,Female,31,9,114722.05,1,1,98178.57
Yang,514,Spain,Male,30,7,0,0,1,125010.24
McIntyre,567,France,Male,42,2,0,1,1,167984.61
Stevenson,850,France,Male,33,10,0,1,0,4861.72
Poole,671,France,Male,45,6,99564.22,1,1,108872.45
Bagley,670,France,Male,37,4,170557.91,1,0,198252.88
Ch'ien,694,France,Female,30,9,0,1,1,26960.31
Cattaneo,547,France,Female,39,6,74596.15,1,1,85746.52
O'Sullivan,751,France,Male,50,2,96888.39,1,0,77206.25
Lucas,594,France,Female,29,3,130830.22,1,0,61048.53
Ringrose,673,France,Male,72,1,0,0,1,111981.19
Freeman,610,France,Male,40,0,0,1,0,62232.6
Sergeyev,512,France,Female,37,1,0,0,1,156105.03
Fiore,767,France,Male,20,3,119714.25,0,1,150135.38
Smith,585,France,Female,67,5,113978.97,0,1,93146.11
Dumetochukwu,763,France,Male,42,6,100160.75,1,0,33462.94
Pacheco,712,France,Female,29,2,0,1,1,144375
Synnot,539,France,Female,43,3,116220.5,1,0,55803.96
Johnston,668,France,Female,46,2,0,,0,89048.46
Stevens,703,France,Male,28,2,81173.83,0,1,162812.16
Grant,662,Spain,Male,38,4,0,1,0,136259.65
Tsao,725,France,Female,39,5,116803.8,1,0,124052.97
Barnes,703,France,Male,37,8,105961.68,0,1,74158.8
McIntosh,659,France,Male,67,6,117411.6,1,1,45071.09
Madison,523,Spain,Male,34,7,0,1,0,62030.06
Ifesinachi,635,France,Female,40,10,123497.58,1,0,131953.23
Glazkov,772,France,Male,26,7,152400.51,1,0,79414
Dimauro,545,France,Female,26,1,,1,1,199638.56
Wieck,634,France,Male,24,8,103097.85,1,1,157577.29
Liao,739,France,Male,54,8,126418.14,1,0,134420.75
Hughes,771,France,Female,36,5,77846.9,0,0,99805.99
Morrison,587,Spain,Female,34,1,0,1,1,97932.68
Matveyeva,681,France,Female,79,0,0,0,1,170968.99
Ku,544,France,Male,37,2,79731.91,1,1,57558.95
Cheatham,696,Spain,Male,28,8,0,0,0,
Yao,766,Spain,Male,41,0,0,0,1,34283.23
Kirkland,727,France,Male,34,10,0,1,1,198637.34
Rose,671,France,Female,34,6,,0,0,156917.12
Jess,693,France,Female,30,6,127992.25,1,1,50457.2
Welch,850,France,Male,38,3,54901.01,1,1,140075.55
Ifeajuna,732,France,Male,42,9,108748.08,1,1,65323.11
Morton,726,Spain,Female,48,6,99906.19,1,0,64323.24
Rossi,557,France,Female,32,6,184686.41,1,0,14956.44
Reppert,682,France,Female,26,0,110654.02,0,1,111879.21
Kang,738,Spain,Male,31,9,79019.8,1,1,
Ch'iu,531,Spain,Female,36,9,,1,0,123137.01
Wallis,498,France,Male,34,2,0,1,1,148528.24
Clark,651,France,Male,36,7,0,1,0,13898.31
Fielding,549,Spain,Female,39,7,0,0,0,81259.25
Zetticci,791,France,Female,35,7,52436.2,1,0,161051.75
Dulhunty,650,Spain,Male,41,9,0,0,1,191599.67
Bevington,733,France,Male,34,3,100337.96,1,0,48559.19
Boyle,811,France,Female,34,1,149297.19,1,1,186339.74
Newton,707,France,Male,30,8,0,1,0,33159.37
Bowman,712,France,Male,28,4,145605.44,0,1,93883.53
Dubinina,706,Spain,Female,37,7,0,1,1,110899.3
Toscani,756,France,Male,62,3,0,1,1,11199.04
Chiazagomekpere,777,France,,53,10,0,1,0,189992.97
Allen,646,France,Male,35,6,84026.86,0,1,
K'ung,714,France,,46,1,0,1,0,152167.79
Wilsmore,782,France,Male,39,8,0,1,1,33949.67
Hargreaves,775,Spain,Male,29,10,0,1,1,68143.93
Huang,479,France,Male,35,4,138718.92,1,1,47251.79
Ch'ien,807,France,Male,42,7,118274.71,1,1,25885.72
Wallwork,799,France,Female,22,8,174185.98,0,1,192633.85
Chu,675,France,Male,40,,113208.86,1,0,34577.36
Kang,602,Spain,Male,29,5,,1,0,161229.84
Davidson,475,France,,32,8,119023.28,1,0,
O'Donnell,744,Spain,Female,26,5,166297.89,1,1,181694.44
Nnachetam,588,Spain,Male,34,10,0,1,0,79078.91
Chidiebele,703,France,Male,42,9,63227,0,1,137316.32
Ahmed,747,Spain,Female,41,5,94521.17,1,0,194926.86
Booth,583,France,Male,27,7,0,1,0,51285.49
Chuang,750,Spain,Female,34,9,112822.26,0,0,150401.53
Shao,681,France,Male,38,3,0,1,1,112491.96
Tsao,773,France,Male,25,2,135903.33,1,0,73656.38
Tien,714,France,Female,31,4,125169.26,1,1,106636.89
Chang,687,Spain,Female,44,7,0,1,0,155853.52
Johnson,511,France,Male,58,0,149117.31,1,1,162599.51
French,627,France,Male,33,5,0,1,1,103737.82
Efremov,694,France,Female,31,10,0,1,0,160990.27
Hartley,616,Spain,Female,36,6,132311.71,0,0,15462.84
Calabrese,687,France,Male,35,8,0,1,0,10334.05
Chiu,712,France,Female,33,6,0,1,1,190686.16
Brennan,553,France,Male,33,4,118082.89,0,0,94440.45
Onwuatuegwu,667,France,Male,31,1,119266.69,1,1,28257.63
Hewitt,731,France,Male,43,2,0,1,1,170034.95
Shih,629,France,Male,35,7,156847.29,1,0,31824.29
Balashov,614,France,Male,50,4,137104.47,1,0,127166.49
Doyle,438,France,Male,31,8,78398.69,1,0,44937.01
Pokrovskii,652,France,Female,80,4,0,1,1,188603.07
Collins,729,France,Male,30,6,63669.42,1,0,145111.37
Russo,642,France,Male,38,3,0,0,0,171463.83
Skinner,806,France,Female,59,0,135296.33,1,0,182822.5
Robertson,744,Spain,Male,36,2,153804.44,1,1,87213.33
Atkinson,474,Spain,Male,37,3,0,0,0,57175.32
Doyle,559,France,Male,49,2,147069.78,1,0,120540.83
Ritchie,706,Spain,Male,42,9,0,1,1,28714.34
McEncroe,628,Spain,Female,22,3,0,1,0,85426.28
Pearson,429,France,Male,24,4,95741.75,1,0,46170.75
Gordon,525,Spain,Female,57,2,145965.33,1,1,64448.36
Ts'ai,680,France,Female,30,8,141441.75,1,1,16278.97
Lung,749,France,Male,40,1,139290.41,1,0,182855.42
Yuan,763,France,Female,31,4,0,0,0,50404.72
Pardey,734,France,Male,30,3,0,1,0,107640.25
Tai,716,France,Male,35,4,144428.87,1,0,134132.65
Scott,594,France,Male,35,2,0,1,0,103480.69
Hunter,644,France,Female,46,9,95441.27,1,0,108761.05
Mazzanti,671,France,Male,35,1,144848.74,1,1,179012.3
L?,664,France,Male,26,7,116244.14,1,1,95145.14
Beach,656,France,Male,50,7,0,0,1,72143.44
Hsieh,667,Spain,Female,40,1,146502.07,1,0,19162.89
Faulkner,663,France,Male,44,2,117028.6,0,1,144680.18
Knowles,584,France,Female,30,8,112013.81,1,0,177772.03
Day,626,Spain,Female,37,6,108269.37,1,0,5597.94
Hsueh,485,France,Male,29,7,182123.79,1,0,116828.51
Tsao,659,France,Female,32,3,150923.74,0,1,174652.51
Kennedy,649,France,Male,33,2,0,1,0,2010.98
Nwabugwu,805,Spain,Female,39,5,165272.13,1,0,14109.85
Young,716,France,Female,39,10,115301.31,1,0,43527.4
Kerr,642,France,Female,40,6,129502.49,0,1,86099.23
Tien,659,France,Male,31,4,118342.26,0,0,161574.19
Marrero,545,Spain,Female,47,5,0,1,1,38970.14
White,543,France,Male,22,8,0,0,0,127587.22
Pisano,718,France,Female,25,7,0,1,0,30380.12
Brown,840,France,Female,43,7,0,1,0,90908.95
Freeman,630,France,Female,34,9,106937.05,1,0,138275.01
Russell,643,France,Male,59,3,170331.37,1,1,32171.79
Seleznyov,654,France,Female,32,1,114510.85,1,1,126143.23
Yusupova,582,France,Male,39,5,0,1,1,129892.93
Foley,659,Spain,Male,32,3,107594.11,1,1,102416.84
Shih,762,Spain,Male,39,2,81273.13,1,1,18719.67
Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,0,61936.22
Power,670,Spain,Male,25,6,0,1,1,78358.94
Amos,613,France,Female,45,1,187841.99,1,1,147224.27
Reed,539,France,Male,30,0,0,1,0,160979.66
Simmons,850,Spain,Female,57,8,126776.3,1,1,132298.49
Ricci,522,Spain,Male,34,9,126436.29,1,0,174248.52
Yen,737,France,Male,41,1,101960.74,1,1,123547.28
Campbell,520,France,Male,58,3,0,0,1,32790.02
West,706,Spain,Male,28,3,0,0,1,181543.67
Robinson,643,France,Female,45,2,150842.93,0,1,2319.96
Bianchi,648,France,Female,50,9,102535.57,1,1,189543.19
Chen,443,France,Female,29,9,99027.61,1,0,10940.4
Madukaego,640,France,Male,68,9,0,1,1,199493.38
Ibrahimova,628,Spain,Female,33,3,0,1,1,188193.25
Nolan,540,France,Female,42,9,87271.41,1,0,172572.64
Scott,460,France,Female,35,8,102742.91,1,1,189339.6
Blair,636,France,Male,34,2,40105.51,0,1,53512.16
Monaldo,593,France,Female,29,2,152265.43,1,0,34004.44
Sutherland,801,Spain,Male,42,4,141947.67,1,1,10598.29
Cole,640,France,Female,75,1,106307.91,0,1,113428.77
Briggs,611,France,Male,31,0,107884.81,1,1,183487.98
Gregory,802,France,Male,31,1,125013.72,1,1,187658.09
Bianchi,717,France,Male,35,7,58469.37,1,1,172459.39
Angelo,769,France,Female,39,8,0,0,1,21016
Gardiner,745,France,Male,45,10,117231.63,1,1,122381.02
Kerr,572,Spain,Male,35,4,152390.26,1,0,128123.66
Ko,629,Spain,Female,30,2,34013.63,1,0,19570.63
Distefano,687,Spain,Female,39,2,0,0,0,188150.6
Farrell,483,France,Female,50,9,0,1,1,111020.24
Milano,690,France,Male,36,7,101583.11,1,0,123775.15
Ting,492,France,Female,30,10,77168.87,0,1,146700.22
Boyd,709,France,Male,28,8,124695.72,1,0,145251.35
Onyemaechi,705,France,Male,44,3,105934.96,1,0,82463.69
Black,560,France,Female,66,9,0,1,1,15928.49
Oliver,611,Spain,Male,46,6,0,1,0,45886.33
Greco,730,Spain,Male,62,2,0,1,1,186489.95
Whitehead,709,Spain,Female,45,2,0,0,1,162922.65
Ikemefuna,544,France,Female,21,10,161525.96,1,0,9262.77
Morrison,712,France,Female,29,7,147199.07,1,1,84932.4
Onyeoruru,752,France,Male,38,3,183102.29,1,1,71557.12
Cunningham,648,Spain,Male,46,9,127209,1,0,77405.95
Demidov,556,Spain,Male,38,8,0,0,0,417.41
Celis,594,Spain,Female,24,0,97378.54,1,1,71405.17
Cheng,645,France,Female,37,2,136925.09,0,1,153400.24
Knight,557,France,Male,33,3,54503.55,1,1,371.05
Morin,547,France,Male,32,8,155726.85,1,0,67789.99
Mills,701,France,Female,39,9,0,0,1,145894.9
Outhwaite,616,France,Female,66,1,135842.41,1,0,183840.51
Tung,605,France,Male,52,1,63349.75,1,0,108887.44
Chinedum,699,France,Male,34,2,117468.67,1,0,185227.42
Capon,639,France,Female,27,2,0,0,0,125244.18
Rawling,583,France,Female,27,4,0,1,0,163113.41
Duncan,587,France,Male,42,1,0,0,0,123006.91
Trevisani,694,France,Male,40,9,0,1,0,40463.03
Ankudinova,570,France,Female,29,4,153040.03,1,1,131363.57
Balsillie,692,France,Male,45,6,142084.04,1,0,188305.85
Kerr,511,France,Female,30,5,0,1,0,143994.86
Worsnop,788,France,Male,32,4,112079.58,0,0,89368.59
Yevseyev,526,Spain,Male,66,7,132044.6,1,1,158365.89
Manna,749,Spain,Female,46,9,66582.81,1,0,78753.12
Siciliani,691,France,Female,33,6,0,1,1,100408.31
Powell,481,France,Female,39,6,0,1,1,24677.54
Bazarova,752,France,Male,33,4,0,1,1,39570.78
White,658,France,Female,38,6,102895.1,0,0,155665.76
Buda,679,Spain,Male,42,2,0,1,1,168294.27
Cattaneo,754,France,Male,27,7,117578.35,0,1,87908.01
Lo,679,France,Male,47,10,198546.1,1,0,191198.92
Brown,633,Spain,Female,39,2,0,0,0,191207.03
Rose,674,France,Female,31,1,0,1,0,128954.05
Lombardo,600,France,Male,28,2,116623.31,0,1,59905.29
McMillan,645,Spain,Male,49,8,0,1,0,162012.6
Howe,698,France,Male,36,6,0,0,1,19231.98
Hsu,508,Spain,Male,54,10,0,1,1,175749.36
Han,555,France,Female,44,3,105770.7,1,0,60533.96
Calabrese,751,France,Female,48,9,0,1,0,137508.42
Riley,738,France,Female,39,1,94435.45,0,1,189430.86
Biryukov,706,France,Female,39,8,112889.91,0,1,6723.66
Broadhurst,595,France,Female,53,7,0,1,0,41371.68
Genovesi,577,France,Female,43,3,127940.47,0,0,125140.72
Hsieh,578,France,Female,36,8,129745.1,1,1,143683.75
Kemp,699,France,Male,32,3,0,1,1,170770.44
Chukwudi,826,France,Female,30,5,0,0,1,157397.57
Iqbal,656,France,Female,46,7,141535.52,1,0,50595.15
Teng,556,France,Female,47,2,139914.27,1,1,50390.98
Tao,569,France,Male,41,4,120243.49,1,0,163150.03
Chinedum,765,France,Male,34,9,91835.16,0,0,138280.17
Stevenson,544,Spain,Male,37,2,0,0,0,135067.02
Duncan,588,Spain,Female,22,9,67178.19,1,1,163534.75
Garrett,740,Spain,Female,31,8,0,0,0,86657.48
Yao,850,Spain,Male,38,7,115378.94,0,1,162087.82
He,766,France,Male,30,4,127786.28,1,1,28879.3
Mazzi,849,France,Female,41,6,0,1,1,169203.51
Edwards,612,France,Female,33,0,64900.32,1,0,102426.12
Lucchesi,517,France,Male,53,0,109172.88,1,0,54676.1
Siciliani,645,France,Female,55,7,0,1,1,18369.33
Shih,696,France,Male,43,4,114091.38,0,1,159888.1
Logue,716,France,Female,40,3,0,0,1,167636.15
Rechner,590,France,Male,32,9,0,1,0,138889.15
O'Brien,656,France,Female,45,7,145933.27,1,1,199392.14
Stewart,473,France,Female,35,7,131504.73,1,0,189560.43
Batt,742,France,Female,44,8,107926.02,0,1,17375.27
Hope,834,France,Female,57,8,112281.6,1,0,140225.14
Ahmed,721,France,Male,41,7,0,0,1,61018.85
Pearson,590,Spain,Male,29,10,0,1,1,51907.72
Kruglov,516,Spain,Female,31,7,0,1,0,47018.75
Gordon,850,France,Male,33,0,124781.67,0,1,33700.52
Trujillo,748,France,Female,39,9,132865.56,1,1,59636.43
Pagnotto,798,France,Female,38,4,129055.13,1,0,157147.59
Horton,612,France,Male,76,6,96166.88,1,1,191393.26
DeRose,540,France,Female,40,3,165298.12,0,1,199862.75
Chiang,719,Spain,Female,33,7,0,1,0,20016.59
Gill,598,France,Male,48,6,120682.53,1,0,30635.52
Trevisano,796,Spain,Male,32,5,102773.15,0,1,117832.88
Morrison,579,France,Male,42,0,144386.32,1,1,22497.1
Onuora,850,France,Female,40,7,104449.8,1,1,747.88
Ikenna,599,Spain,Male,35,6,137102.65,0,0,76870.81
Mancini,724,France,Female,30,9,142475.87,1,1,107848.24
Moss,508,France,Female,43,9,0,1,0,103726.71
Ting,773,Spain,Male,37,2,103195.2,1,0,178268.36
Tai,526,France,Male,28,1,112070.44,0,1,126281.83
Pan,542,France,Female,29,7,0,0,1,196651.72
Wilson,470,France,Male,35,1,96473.59,0,0,5962.3
